fips,county_name,state,n_single_family_homes,latitude,longitude
12001,Alachua,FL,63439,29.63369,-82.35465645424847
12003,Baker,FL,5867,30.25575188797245,-82.25444610657624
12005,Bay,FL,53591,30.1625826336642,-85.59289355865783
12007,Bradford,FL,6614,29.9398525,-82.20602040811454
12009,Brevard,FL,190289,28.257237,-80.73511500877433
12011,Broward,FL,349394,26.1501733849401,-80.48608229101787
12013,Calhoun,FL,3393,30.3971515,-85.19979633127667
12015,Charlotte,FL,75366,26.86728629322155,-81.94461669406584
12017,Citrus,FL,57817,28.877882,-82.47550163464915
12019,Clay,FL,62562,29.8980965,-81.8202032450813
12021,Collier,FL,97169,26.2026575,-81.34918677336358
12023,Columbia,FL,15447,30.2348785,-82.62654586611535
12027,DeSoto,FL,7971,27.120801999999998,-81.81001409286573
12029,Dixie,FL,4105,29.554448,-83.17800448852321
12031,Duval,FL,262447,30.3777355,-81.65965765557263
12033,Escambia,FL,99764,30.634241000000003,-87.33095700573409
12035,Flagler,FL,45546,29.463622825226,-81.31213935164362
12037,Franklin,FL,5868,29.795175,-84.82340494512769
12039,Gadsden,FL,12220,30.5532805,-84.6333558789728
12041,Gilchrist,FL,3717,29.670007,-82.80474362101586
12043,Glades,FL,2821,26.9956965,-81.22369248454454
12045,Gulf,FL,6000,29.946174,-85.21055271521931
12047,Hamilton,FL,2800,30.501175500000002,-82.96833130907062
12049,Hardee,FL,6076,27.4935115,-81.80942165584787
12051,Hendry,FL,8457,26.643084,-81.22386521136099
12053,Hernando,FL,66514,28.546710500000003,-82.39873357169705
12055,Highlands,FL,35337,27.288473500000002,-81.28286699923812
12057,Hillsborough,FL,344825,27.882231,-82.31400247160681
12059,Holmes,FL,4924,30.9024955,-85.80020785364815
12061,Indian River,FL,54808,27.69162,-80.62072808022126
12063,Jackson,FL,13197,30.778769500000003,-85.17580081092683
12065,Jefferson,FL,3669,30.399728,-83.91990645684882
12067,Lafayette,FL,1872,30.0514365,-83.2155336602053
12069,Lake,FL,119759,28.8005265,-81.68563552997557
12071,Lee,FL,230084,26.5386755,-81.8882146813036
12073,Leon,FL,66238,30.498158500000002,-84.22460380541503
